date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-27,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-27,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-27,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-27,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-27,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-27,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-28,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-28,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-28,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-28,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-28,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-28,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-29,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-29,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-29,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-29,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-29,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-29,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-30,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-30,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-30,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-30,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-30,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-30,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-31,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-31,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-31,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-31,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-31,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-31,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-01,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-01,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-01,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-01,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-01,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-01,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-02,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-02,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-02,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-02,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-02,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-02,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-03,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-03,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-03,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-03,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-03,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-03,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-04,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-04,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-04,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-04,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-04,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-04,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-05,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-05,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-05,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-05,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-05,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-05,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-06,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-06,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-06,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-06,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-06,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-06,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-07,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-07,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-07,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-07,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-07,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-07,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-08,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-08,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-08,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-08,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-08,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-08,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-09,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-09,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-09,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-09,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-09,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-09,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-10,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-10,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-10,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-10,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-10,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-10,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,Rt,1.61793517746887,1.86649798758223,2.14361629386702,2.2451994895091,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,Rt,1.61793517746887,1.86649798758223,2.14361629386702,2.2451994895091,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,cumulative_infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,deaths,0,0,0,0,0,0,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,hospital_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,ICU_demand,0,0,0,0,0,0,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,infections,0,0,0,0,0,0,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-11,Rt,1.61793517746887,1.86649798758223,2.14361629386702,2.2451994895091,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-12,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-12,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-12,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-02-12,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-12,deaths,0,0,0,0,0,0,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-12,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-12,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-12,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-12,Rt,1.61793517746887,1.86649798758223,2.14361629386702,2.24572766062425,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-02-12,cumulative_infections,0,0,0,0,0,0,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-12,deaths,0,0,0,0,0,0,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-12,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-02-12,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
